"# Raw surface EMG excerpt, Santuz et al. 2021, CC BY 4.0"
# source,https://doi.org/10.5281/zenodo.5171823
# trial,ID0001_M_YOUNG_TW_01
# sampling_rate_hz,1000
# units,millivolt
# touchdown_s,0.6990;1.7410;2.7830;3.8240;4.8830;5.9240;6.9580;7.9990
# regenerate,python scripts/extract_emg_demo.py
time_s,ta_mv,gm_mv,rf_mv
0.26100,0.008719,0.003862,-0.072391
0.26200,0.011633,-0.007147,-0.097485
0.26300,0.009367,-0.001966,-0.099752
0.26400,0.011471,-0.002290,-0.103313
0.26500,0.006129,-0.008442,-0.134721
0.26600,0.013738,-0.004718,-0.120474
0.26700,0.011148,0.004024,-0.168720
0.26800,0.010338,-0.002290,-0.122903
0.26900,0.008234,0.000139,-0.034345
0.27000,-0.012165,0.001596,0.055184
0.27100,0.005319,0.010986,0.067812
0.27200,0.014709,0.014548,0.072992
0.27300,-0.015403,0.008395,0.010986
0.27400,-0.016699,0.009853,-0.069801
0.27500,-0.045354,0.002405,-0.027869
0.27600,-0.029165,-0.007470,0.043365
0.27700,0.026852,-0.006337,0.104886
0.27800,0.012443,0.008557,0.188910
0.27900,-0.023498,0.007424,0.196843
0.28000,0.009043,0.004024,0.162197
0.28100,0.090153,0.009367,0.120428
0.28200,0.126742,0.012443,0.107638
0.28300,0.134027,0.016976,0.077525
0.28400,0.004348,0.015357,0.043689
0.28500,-0.023984,0.015843,-0.010223
0.28600,0.085296,0.009853,-0.023174
0.28700,-0.046002,0.009691,-0.040821
0.28800,-0.127274,0.002243,-0.033860
0.28900,-0.097323,0.004186,-0.027708
0.29000,-0.029488,0.003215,-0.016375
0.29100,0.004672,-0.006013,0.007910
0.29200,-0.034022,-0.012327,0.006615
0.29300,0.062631,-0.011518,-0.000671
0.29400,0.047413,0.001434,0.005481
0.29500,0.122047,0.001272,0.004510
0.29600,0.049193,0.005481,-0.003423
0.29700,0.009691,0.004510,0.003539
0.29800,-0.001966,0.008072,-0.010708
0.29900,-0.030136,0.003053,-0.002937
0.30000,-0.091495,0.011471,-0.012813
0.30100,-0.130674,0.010014,-0.007794
0.30200,-0.107361,-0.007147,-0.002937
0.30300,-0.148159,0.007262,-0.011032
0.30400,-0.018965,0.002243,-0.005204
0.30500,-0.023984,0.003215,-0.007632
0.30600,0.043203,0.011310,-0.003909
0.30700,-0.053449,-0.002937,-0.007309
0.30800,-0.126303,-0.003423,-0.011194
0.30900,-0.008604,-0.011032,-0.006013
0.31000,-0.004394,-0.019451,-0.004556
0.31100,0.035756,-0.011194,0.006453
0.31200,0.044984,-0.007147,-0.004233
0.31300,-0.008118,-0.004718,-0.007309
0.31400,0.066840,-0.001966,-0.001480
0.31500,0.068945,-0.005528,0.000624
0.31600,-0.066401,-0.006661,-0.008766
0.31700,-0.033050,-0.006337,-0.007956
0.31800,-0.085505,-0.007470,-0.000671
0.31900,-0.093923,-0.011842,-0.007956
0.32000,-0.037259,-0.011356,-0.007794
0.32100,-0.015403,-0.009089,0.001596
0.32200,-0.040659,-0.004556,-0.001966
0.32300,-0.030784,0.009043,-0.005528
0.32400,0.041422,0.012119,-0.016375
0.32500,0.075259,0.013900,-0.011680
0.32600,0.135970,0.011471,-0.005366
0.32700,0.072830,0.021995,-0.012975
